Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote,,
NBW,Neuberger Berman California Intermediate Municipal Fund Inc.,15.95,87868550,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nbw,,
URG,Ur Energy Inc,0.8298,86029515,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/urg,,
CFP,Cornerstone Progressive Return Fund,5.47,85851650,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfp,,
LODE,"Comstock Mining, Inc.",2.17,85710660,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode,,
NKX,Nuveen California AMT-Free Municipal Income Fund,14.47,85213830,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nkx,,
TAS,Tasman Metals Ltd,1.4489,84967842.7,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/tas,,
BIR^A,"Berkshire Income Realty, Inc.",28.5,84873000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bir^a,,
BTN,"Ballantyne Strong, Inc",6.02,84508760,n/a,1995,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn,,
NCU,Nuveen California Premium Income Municipal Fund,14.7201,84360893.1,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/ncu,,
BCV,"Bancroft Convertible Fund, Inc.",15.82,84099120,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv,,
CVU,"CPI Aerostructures, Inc.",11.95,83745600,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/cvu,,
EGAS,Gas Natural Inc.,10.25,83599000,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/egas,,
DGSE,"DGSE Companies, Inc.",7.43,83364600,n/a,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/dgse,,
BFY,BlackRock New York Municipal Income Trust II,16.6048,82592275.2,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy,,
PCC,PMC Commercial Trust,7.77,82245450,n/a,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/pcc,,
WMCO,"Williams Controls, Inc.",11.12,81542960,n/a,1989,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/wmco,,
MEET,"MeetMe, Inc.",2.23,80875410,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/meet,,
EVY,Eaton Vance New York Municipal Income Trust,14.781,80733822,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evy,,
